
=== f32 ===
   l   r  len     gts_1     mrs_1   ratio   gts_ctx   mrs_ctx   ratio
   2   7   14      30.5      39.5   0.77x      29.1      39.3   0.74x
   2   9   18      37.8      47.3   0.80x      37.4      47.3   0.79x
   2  11   22      43.1      56.6   0.76x      43.4      56.9   0.76x
   2  13   26      53.2      67.8   0.78x      53.2      67.8   0.79x
   2  17   34      70.3      86.1   0.82x      69.8      88.5   0.79x
   2  19   38      78.9      99.6   0.79x      78.6     101.3   0.78x
   2  23   46     101.2     120.0   0.84x     101.1     122.0   0.83x
   2  27   54     223.7     254.6   0.88x     225.4     254.3   0.89x
   2  29   58     141.1     156.2   0.90x     142.5     158.9   0.90x
   2  31   62     166.8     170.1   0.98x     168.4     172.4   0.98x
   3   5   15      34.5      47.2   0.73x      33.4      47.1   0.71x
   3   7   21      49.2      59.2   0.83x      47.0      59.3   0.79x
   3   8   24      45.6      64.4   0.71x      47.5      64.4   0.74x
   3  11   33      67.6      90.2   0.75x      67.0      90.4   0.74x
   3  13   39      81.2     110.0   0.74x      81.9     110.3   0.74x
   3  16   48      86.0     118.1   0.73x      87.1     118.3   0.74x
   3  17   51     107.3     142.1   0.75x     108.7     143.9   0.76x
   3  19   57     123.0     163.3   0.75x     125.8     164.9   0.76x
   3  23   69     159.5     203.0   0.79x     162.9     203.7   0.80x
   3  29   87     228.8     276.6   0.83x     233.4     277.5   0.84x
   3  31   93     261.1     298.4   0.88x     266.2     299.5   0.89x
   3  32   96     170.6     236.3   0.72x     176.6     237.5   0.74x
   4   5   20      40.3      57.1   0.71x      40.2      56.7   0.71x
   4   7   28      52.3      70.7   0.74x      53.7      70.7   0.76x
   4   9   36      68.0      93.5   0.73x      68.0      93.6   0.73x
   4  11   44      81.3     111.4   0.73x      82.6     111.5   0.74x
   4  13   52      98.8     133.1   0.74x     101.0     133.2   0.76x
   4  17   68     133.1     176.1   0.76x     136.5     176.0   0.78x
